task_id,title,description,source_file,mapped_file,logic_score,status,priority,assigned_to,admin_remarks,Module Group
TASK_001,ambulance_dashboard_page,Auto-migrated task from legacy v1 to v4,routes/ambulance_dashboard_routes.py,,0.705,partial,low,unassigned,Seeded via scan mapping,ðŸ“Š UI - Dashboard
TASK_002,bloodbank_dashboard_page,Auto-migrated task from legacy v1 to v4,routes/bloodbank_dashboard_routes.py,,0.705,partial,low,unassigned,Seeded via scan mapping,ðŸ“Š UI - Dashboard
TASK_003,dashboard,Auto-migrated task from legacy v1 to v4,smartuser.py,smartswasthya/routes/smartuser_dashboard_routes.py,0.848,done,low,unassigned,Seeded via scan mapping,ðŸ“Š UI - Dashboard
TASK_004,dev_dashboard,Auto-migrated task from legacy v1 to v4,routes/dev_dashboard_routes.py,smartswasthya/routes/smartuser_dashboard_routes.py,0.819,done,low,unassigned,Seeded via scan mapping,ðŸ“Š UI - Dashboard
TASK_005,dev_dashboard_page,Auto-migrated task from legacy v1 to v4,auto_routes.py,,0.738,partial,medium,unassigned,Seeded via scan mapping,ðŸ“Š UI - Dashboard
TASK_006,doctor_dashboard_page,Auto-migrated task from legacy v1 to v4,routes/doctor_dashboard_routes.py,,0.7,partial,low,unassigned,Seeded via scan mapping,ðŸ“Š UI - Dashboard
TASK_007,family_dashboard_page,Auto-migrated task from legacy v1 to v4,routes/family_dashboard_routes.py,,0.74,partial,low,unassigned,Seeded via scan mapping,ðŸ“Š UI - Dashboard
TASK_008,get_dashboard_summary,Auto-migrated task from legacy v1 to v4,sections.py,,0.74,partial,medium,unassigned,Seeded via scan mapping,ðŸ“Š UI - Dashboard
TASK_009,homecare_dashboard_page,Auto-migrated task from legacy v1 to v4,routes/homecare_dashboard_routes.py,,0.678,partial,low,unassigned,Seeded via scan mapping,ðŸ“Š UI - Dashboard
TASK_010,hospital_dashboard_page,Auto-migrated task from legacy v1 to v4,routes/hospital_dashboard_routes.py,smartswasthya/routes/smartuser_dashboard_routes.py,0.754,done,low,unassigned,Seeded via scan mapping,ðŸ“Š UI - Dashboard
TASK_011,lab_dashboard_page,Auto-migrated task from legacy v1 to v4,routes/lab_dashboard_routes.py,,0.738,partial,low,unassigned,Seeded via scan mapping,ðŸ“Š UI - Dashboard
TASK_012,pharma_dashboard_page,Auto-migrated task from legacy v1 to v4,routes/pharma_dashboard_routes.py,,0.74,partial,low,unassigned,Seeded via scan mapping,ðŸ“Š UI - Dashboard
TASK_013,smartuser_dashboard_page,Auto-migrated task from legacy v1 to v4,routes/smartuser_dashboard_routes.py,,0.668,partial,low,unassigned,Seeded via scan mapping,ðŸ“Š UI - Dashboard
TASK_014,all_routes,Auto-migrated task from legacy v1 to v4,routes/dev/routes_info_routes.py,smartswasthya/registry/route_loader_utils.py,0.783,done,low,unassigned,Seeded via scan mapping,ðŸ” UI - Routing
